Office,Name,Party
Governor of Alabama,Kay Ivey,Republican
Governor of Alaska,Mike Dunleavy,Republican
Governor of Arizona,Doug Ducey,Republican
Governor of Arkansas,Asa Hutchinson,Republican
Governor of California,Gavin Newsom,Democratic
Governor of Colorado,Jared Polis,Democratic
Governor of Connecticut,Ned Lamont,Democratic
Governor of Delaware,John C. Carney Jr.,Democratic
Governor of Florida,Ron DeSantis,Republican
Governor of Georgia,Brian Kemp,Republican
Governor of Hawaii,David Ige,Democratic
Governor of Idaho,Brad Little,Republican
Governor of Illinois,J.B. Pritzker,Democratic
Governor of Indiana,Eric Holcomb,Republican
Governor of Iowa,Kim Reynolds,Republican
Governor of Kansas,Laura Kelly,Democratic
Governor of Kentucky,Andy Beshear,Democratic
Governor of Louisiana,John Bel Edwards,Democratic
Governor of Maine,Janet T. Mills,Democratic
Governor of Maryland,Larry Hogan,Republican
Governor of Massachusetts,Charles D. Baker,Republican
Governor of Michigan,Gretchen Whitmer,Democratic
Governor of Minnesota,Tim Walz,Democratic
Governor of Mississippi,Tate Reeves,Republican
Governor of Missouri,Mike Parson,Republican
Governor of Montana,Steve Bullock,Democratic
Governor of Nebraska,Pete Ricketts,Republican
Governor of Nevada,Steve Sisolak,Democratic
Governor of New Hampshire,Chris Sununu,Republican
Governor of New Jersey,Phil Murphy,Democratic
Governor of New Mexico,Michelle Lujan Grisham,Democratic
Governor of New York,Andrew Cuomo,Democratic
Governor of North Carolina,Roy Cooper,Democratic
Governor of North Dakota,Doug Burgum,Republican
Governor of Ohio,Richard Michael DeWine,Republican
Governor of Oklahoma,Kevin Stitt,Republican
Governor of Oregon,Kate Brown,Democratic
Governor of Pennsylvania,Tom Wolf,Democratic
Governor of Rhode Island,Gina Raimondo,Democratic
Governor of South Carolina,Henry McMaster,Republican
Governor of South Dakota,Kristi L. Noem,Republican
Governor of Tennessee,Bill Lee,Republican
Governor of Texas,Greg Abbott,Republican
Governor of Utah,Gary Herbert,Republican
Governor of Vermont,Phil Scott,Republican
Governor of Virginia,Ralph Northam,Democratic
Governor of Washington,Jay Inslee,Democratic
Governor of West Virginia,Jim Justice,Republican
Governor of Wisconsin,Tony Evers,Democratic
Governor of Wyoming,Mark Gordon,Republican
